RAMA (RUS),"TIPO DE ACTIVIDAD (""Tipo 02_16"" del RUS)",CANTIDAD DE RELEVAMIENTOS,REMOTICIDAD FINAL,HERRAMIENTAS DE FABRICACIÓN,POSIBILIDAD DE DISTRIBUCIÓN,NECESIDAD DE TRASLADO CONSUMIDOR,EVALUACIÓN PRESENCIAL DE LA CALIDAD,VENTA EXPERIENCIA PRESENCIAL,HÁBITO DE CONSUMO REMOTO,USOS NO COMERCIALES,REMOTO FULL,REMOTO HUB,REMOTO MIX,R. COMPLEJO,NO REMOTO
COMERCIO,DESPACHO DE PAN (VENTA NO ELAB.),2,remotoMix,Maquinaria pesada,Fundamental,No requiere,Opcional,Agrega algo de valor,Público remoto considerable,,2,4,5,2,3
COMERCIO,CENTRO DE REPARACION DE APARATOS AUDITIVOS,3,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,No requiere,No agrega valor,Público remoto incipiente,,2,3,1,4,3
COMERCIO,PARTITURAS MUSICALES,1,remotoHub,Infraestructura chica,"Factible, no eficiente",No requiere,No requiere,Agrega algo de valor,Público remoto potencial,,2,3,3,3,2
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",CARTELERA DE ESPECTACULOS,4,remotoHub,Infraestructura chica,Fundamental,No requiere,No requiere,Agrega algo de valor,Público remoto potencial,,2,4,4,3,2
SERVICIOS EMPRESARIALES,ESTIUDIO CONTABLE,1,remotoFull,No requiere,Digital,No requiere,No requiere,No agrega valor,Público remoto potencial,,5,3,1,1,0
COMERCIO,GOLOSINERIA,1,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
COMERCIO,REPARACION ART. ELECTRONICOS,1,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,No requiere,No agrega valor,Público remoto incipiente,,2,3,1,4,3
HOTELERIA Y GASTRONOMIA,CAFE,668,remotoComplex,Infraestructura considerable,"Factible, no eficiente",No requiere,Opcional,Agrega mucho valor,Público remoto incipiente,,1,1,2,4,4
COMERCIO,FILATELIA,22,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
SERVICIOS EMPRESARIALES NCP,LEGALIZACION DE DOCUMENTOS,1,servicioSi,,,,,,,servicioSi,,,,,
"CURTIDO Y TERMINACION DE CUEROS, FABRICACION DE ARTICULOS DE MARROQUINERIA, TALABARTERIA Y CALZADO",CUEROS,1,remotoHub,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,No agrega valor,Público remoto potencial,,2,3,3,3,2
SERVICIOS EMPRESARIALES,SERVICIO TECNICO,1,remotoHub,Herramientas manuales,Fundamental,Se traslada un bien,No requiere,Agrega algo de valor,Público remoto considerable,,2,4,4,3,3
COMERCIO,ESTAMPILLAS,7,remotoComplex,Infraestructura chica,"Factible, no eficiente",Se traslada un bien,Opcional,Agrega algo de valor,Público remoto incipiente,,0,1,3,4,4
OTROS SERVICIOS,CENTRO ESTETICA CORPORAL,1,remotoNo,Infraestructura considerable,"Factible, no eficiente",Se traslada una persona,Opcional,Agrega mucho valor,Sin público remoto,,0,0,2,4,5
COMERCIO,COMPOSTURA DE LAPICERAS,1,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,Opcional,No agrega valor,Sin público remoto,,1,2,2,3,3
SERVICIOS EMPRESARIALES,SERVICIOS INMOBILIARIOS,1,remotoFull,No requiere,Digital,No requiere,No requiere,Agrega algo de valor,,,4,2,1,0,0
"ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA",PUESTO DE INFO. TURISTICA,3,servicioSi,,,,,,,servicioSi,,,,,
ELABORACION DE PRODUCTOS ALIMENTICOS Y BEBIDA,HELADOS + CAFE,1,remotoMix,Maquinaria pesada,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto considerable,,2,4,5,3,4
SERVICIOS EMPRESARIALES,CONSULTORA DE TRABAJO Y RECURSOS HUM,1,remotoFull,No requiere,Digital,No requiere,No requiere,No agrega valor,Público remoto potencial,,5,3,1,1,0
EDICION E IMPRESIÓN,EDICION DE LIBROS,2,remotoFull,No requiere,Digital,No requiere,Opcional,No agrega valor,Público remoto potencial,,4,2,2,1,0
SERVICIOS EMPRESARIALES,INVESTIGACIONES DE MERCADO,1,remotoFull,No requiere,Digital,No requiere,No requiere,No agrega valor,Público remoto considerable,,6,4,1,0,1
ENSEÑANZA,ESCUELA DE MODELOS,1,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
COMERCIO,MERCERIA + KIOSCO,2,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
COMERCIO,"ALFOMBRAS, PAPELES PARA PAREDES",1,remotoMix,Infraestructura chica,Fundamental,No puede trasladarse,Opcional,Agrega algo de valor,Público remoto potencial,,0,3,6,3,2
COMERCIO,COMPOSTURA DE CUEROS,4,remotoMix,Infraestructura chica,Fundamental,Se traslada un bien,Opcional,No agrega valor,Público remoto potencial,,1,3,4,4,3
COMERCIO,MUÑECAS DE PORCELANA,1,remotoMix,Infraestructura chica,"Factible, no eficiente",Opcional,Opcional,Agrega algo de valor,Público remoto potencial,,0,1,5,3,2
COMERCIO,POLO (VENTA DE ARTS.),2,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
SERVICIOS AGRICOLAS Y PECUARIOS,RIEGO DE PRESICION,1,remotoHub,Infraestructura chica,Fundamental,No puede trasladarse,Opcional,No agrega valor,Público remoto considerable,,2,5,5,2,3
SERVICIOS EMPRESARIALES,CENTRO DE COMPUTOS,1,remotoFull,Maquinaria liviana,Digital,No requiere,No requiere,No agrega valor,Público remoto potencial,,4,4,2,2,1
